Pista 0: 
Tempo: 120.0 BPM

Pista 1: DRUM LOOP
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 115200
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 115261
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 115920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 115981
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 116640
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 116668
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 117120
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 117198
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 117840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 117914
  Note_on: Nota: 38, Velocidad: 106, Tiempo: 118320
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 118365
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 118560
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 118588
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 118800
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 118845
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 119040
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 119118
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 119760
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 119838
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 120480
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 120547
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 120960
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 121038
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 121680
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 121752
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 122400
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 122461
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 122640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 122685
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 122880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 122975
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 123600
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 123662
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 124320
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 124382
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 124800
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 124856
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 125520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 125598
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 126240
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 126307
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 126720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 126782
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 127440
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 127518
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 128160
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 128221
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 128640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 128718
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 129360
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 129438
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 129840
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 129885
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 130080
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 130125
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 130320
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 130376
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 130560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 130605
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 131280
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 131358
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 132000
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 132061
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 132480
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 132558
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 133200
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 133262
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 133920
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 133981
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 134160
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 134177
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 134400
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 134473
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 135120
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 135181
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 135840
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 135901
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 136320
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 136382
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 137040
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 137102
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 137520
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 137564
  Note_on: Nota: 38, Velocidad: 106, Tiempo: 137640
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 137686
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 138000
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 138028
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 138240
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 138380
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 138960
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 139022
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 139680
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 139759
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 140160
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 140216
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 140880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 140941
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 141600
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 141662
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 141840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 141868
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 142080
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 142169
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 142800
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 142861
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 143520
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 143599
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 144000
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 144051
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 144720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 144765
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 145200
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 145245
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 145320
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 145353
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 145440
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 145474
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 145680
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 145714
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 145920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 145976
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 146640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 146702
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 147360
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 147422
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 147840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 147901
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 148560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 148622
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 149280
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 149336
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 149520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 149537
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 149760
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 149805
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 150480
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 150541
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 151200
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 151278
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 151680
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 151742
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 152400
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 152461
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 152880
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 152919
  Note_on: Nota: 38, Velocidad: 106, Tiempo: 153000
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 153045
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 153360
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 153388
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 153600
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 153656
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 154320
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 154382
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 155040
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 155102
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 155520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 155582
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 156240
